n,p,time
200,0.5,0.018785209000000025
200,0.5,0.018930166999999942
200,0.5,0.019015082999999988
200,0.5,0.018982374999999996
400,0.5,0.07663879200000001
400,0.5,0.07530654200000009
400,0.5,0.07578025
400,0.5,0.07075645900000005
400,0.5,0.07627574999999998
400,0.5,0.09870000000000001
400,0.5,0.0759822499999998
400,0.5,0.07541112500000002
400,0.5,0.0755192499999997
400,0.5,0.07643187499999993
400,0.5,0.07652562499999993
400,0.5,0.07549766700000005
400,0.5,0.07618104199999998
400,0.5,0.07555066700000035
400,0.5,0.07554745799999996
400,0.5,0.07565308300000018
400,0.5,0.076218291
400,0.5,0.07542520800000041
400,0.5,0.0769384999999998
400,0.5,0.07681845799999998
400,0.5,0.07627799999999985
400,0.5,0.07476379200000016
400,0.5,0.0749412089999999
400,0.5,0.07443537500000019
400,0.5,0.07520700000000025
400,0.5,0.07473225000000028
400,0.5,0.07393312499999993
400,0.5,0.07528583399999977
400,0.5,0.07497150000000019
400,0.5,0.0746948750000005
800,0.5,0.3053550419999995
800,0.5,0.3038392089999995
800,0.5,0.3078464580000002
800,0.5,0.30633245900000006
800,0.5,0.3077078750000002
800,0.5,0.3049359169999999
800,0.5,0.3058063749999995
800,0.5,0.3061052499999999
800,0.5,0.3036833750000003
800,0.5,0.30526683299999924
800,0.5,0.30359004099999964
800,0.5,0.30715766700000025
800,0.5,0.3056255419999996
800,0.5,0.3051969999999997
800,0.5,0.31050624999999954
800,0.5,0.30839583299999873
800,0.5,0.30735375000000076
800,0.5,0.30679516699999887
800,0.5,0.3107571670000002
800,0.5,0.3106985000000009
800,0.5,0.3055555830000003
800,0.5,0.3039579580000016
800,0.5,0.31064354199999933
800,0.5,0.3057099999999995
800,0.5,0.3047801250000006
800,0.5,0.304803291999999
800,0.5,0.30636112500000046
800,0.5,0.306973790999999
800,0.5,0.30652737499999816
800,0.5,0.30749912499999965
1200,0.5,0.286392916999997
1200,0.5,0.285792500000003
1200,0.5,0.28087175000000286
1200,0.5,0.27646350000000197
1200,0.5,0.2822844169999996
1200,0.5,0.27642429100000143
1200,0.5,0.28514466700000085
1200,0.5,0.28519991599999983
1200,0.5,0.2833371669999991
1200,0.5,0.2836108330000009
1200,0.5,0.2861979169999991
1200,0.5,0.23588166599999738
2000,0.5,0.797109166000002
2000,0.5,0.8181606669999972
2000,0.5,0.7880718340000001
2000,0.5,0.799934167
2000,0.5,0.8060447500000016
2000,0.5,0.7977899999999991
2000,0.5,0.7925721249999995
2000,0.5,0.7847248749999949
2000,0.5,0.7777694580000016
2000,0.5,0.7868313749999984
2000,0.5,0.7960951670000043
2000,0.5,0.7835305829999939
3000,0.5,1.7788164999999978
3000,0.5,1.8695769170000034
3000,0.5,1.776275708
3000,0.5,1.8000858329999971
3000,0.5,1.8517343749999995
3000,0.5,1.8734949589999985
